,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Phase,Phase,Phase,Phase
,afLeftThigh,Left Knee,afLeftAnkle,afLeftFoot,afRightThigh,Right Knee,afRightAnkle,afRightFoot,pfWaist,pfLeftFemurHead,pfLeftKnee,pfLeftAnkle,pfRightFemurHead,pfRightKnee,pfRightAnkle,LeftArm,LeftHip,LeftKnee,LeftAnkle,LeftToe,RightArm,RightHip,RightKnee,RightAnkle,RightToe,RL - T4,RL - RunLab,LL - T4,LL - RunLab
42,0.87,1.07,25.44,0.73,2.42,1.41,1.02,357.28,0.51,0.91,2.93,6.33,0.42,0.64,2.55,53.25,136.29,144.92,74.27,0.55,1.22,179.84,156.7,79.8,16.29,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
43,1.48,2.17,24.41,10.04,2.23,2.21,3.27,356.68,1.97,0.92,3.89,6.8,0.11,0.67,4.08,53.78,137.85,149.81,73.3,4.68,1.4,180.78,158.16,85.73,17.69,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
44,1.5,2.38,24.35,19.04,2.36,1.92,3.71,356.42,2.46,2.14,2.74,7.65,0.06,1.24,6.83,53.95,139.23,152.13,73.28,4.72,1.13,181.21,158.03,90.6,23.09,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
45,2.25,2.69,21.86,23.03,2.4,1.86,3.78,0.41,3.44,1.53,4.18,2.36,0.14,2.52,7.44,53.83,140.11,152.07,73.79,6.22,0.6,180.7,154.77,92.28,18.05,Terminal Stance,Terminal Stance,Terminal Swing,Terminal Swing
46,2.71,2.04,25.08,24.18,2.55,2.19,2.14,12.01,4.23,2.7,3.19,0.11,0.29,4.84,8.18,53.65,,,73.08,1.3,0.29,179.59,148.88,92.05,5.37,Toe Off,Toe Off,Initial Strike,Initial Strike
47,3.3,1.94,25.88,26.27,2.04,1.43,1.53,17.65,2.28,3.32,2.79,1.52,0.08,6.24,5.07,52.27,,,77.89,4.31,0.2,177.96,141.66,91.68,2.8,Initial Swing,Initial Swing,Loading Response,Loading Response
48,4.84,3.22,21.99,21.04,1.33,2.31,2.97,23.65,1.18,3.92,2.69,1.75,0.62,5.54,8.51,50.71,,,80.2,0.11,0.39,175.96,133.29,91.91,1.97,Initial Swing,Initial Swing,Loading Response,Loading Response
49,5.17,2.75,14.42,1.35,0.14,1.83,4.96,24.75,2.52,3.77,3.05,5.5,1.36,7.4,1.45,48.6,,,76.15,0.71,0.88,174.26,125.25,91.9,7.24,Initial Swing,Initial Swing,Loading Response,Loading Response
50,5.61,2.29,16.76,5.49,0.19,2.19,6.21,28.55,2.94,3.84,2.98,3.83,0.41,5.18,0.79,46,,,73.08,3.29,1.26,172.02,116.91,92.88,1.72,Initial Swing,Midswing,Loading Response,Loading Response
51,6.08,2.74,14.85,7.35,0.77,1.3,8.49,30.96,1.2,4.49,2.09,0.9,0.09,3.4,0.05,42.29,,,68.95,3.4,3.6,167.07,107.39,90.64,2.92,Midswing,Midswing,Loading Response,Loading Response
52,5.3,1.52,15.71,9.05,1.42,1.36,12.52,33.99,1.15,5.64,0.67,4.29,0.21,4.02,1.62,39.01,,,68.03,0.42,6.07,163.51,99.89,89.03,3.76,Midswing,Midswing,Loading Response,Loading Response
53,5.21,1.17,17.24,9.99,0.89,1.13,13.83,34.84,1.3,6.32,0.08,3.15,0.02,2.53,0.28,34.67,,,65.83,0.09,8.26,157.45,92.39,87.77,7.02,Midswing,Midswing,Loading Response,Loading Response
54,4.89,0.19,17.69,9.04,1.24,0.18,13,36.61,1.65,6.22,0.59,0.08,0.25,2.1,3.26,29.91,,,64.15,1.02,10.68,152.41,87.4,87.01,1.86,Midswing,Midswing,Midstance,Midstance
55,5.04,0.16,19.63,10.12,1.99,7.93,5.03,34.37,0.98,5.46,1.73,4.11,1.08,1.24,7.44,24.51,,,64.42,3.62,14.24,148.57,84.76,86.36,3.38,Midswing,Midswing,Terminal Stance,Terminal Stance
56,6.32,1.47,20.08,8.19,1.83,7.2,5.93,33.51,0.31,5.82,0.99,4.05,1.8,0.02,8.83,19.98,159.08,140.62,64.11,4.31,17.52,144.4,83.42,86.03,5.92,Midswing,Midswing,Terminal Stance,Terminal Stance
57,6.58,1.92,18.99,8.36,1.35,7.7,5.43,31.58,1.16,4.35,3.41,8.39,3.02,1.56,4.79,15.59,,,65.95,8.94,21.24,140.94,83.47,86.66,7.25,Midswing,Midswing,Terminal Stance,Terminal Stance
58,6.84,2.05,19.32,7.67,0.73,7.24,7.5,34.28,2.16,3.32,5.43,14.47,2.97,1.89,4.16,12.09,,,67.95,10.59,24.14,138.38,84.54,77.23,17.67,Midswing,Midswing,Terminal Stance,Terminal Stance
59,7.45,3.62,17.14,7.34,0.46,4.66,10.86,28.62,2.37,2.46,6.41,22.76,3.9,1.94,6.53,9.55,,,70.14,7.53,27.58,135.67,87.87,80.41,,Midswing,Midswing,Terminal Stance,Terminal Stance
60,7.74,3.77,18.76,9.99,0.08,5.19,9.73,27.12,2.73,1.46,7.31,19.82,3.97,0.85,8.17,7.31,,,71.58,10.41,30.82,133.71,91.93,79.21,3.24,Midswing,Midswing,Terminal Stance,Terminal Stance
61,7.44,3.74,16.05,9.37,0.59,4.18,11.92,23.94,2.47,1.41,7.09,14.74,4.06,0.79,6.76,4.52,,,75.23,14.7,33.01,133.25,97.2,76.76,5.96,Midswing,Midswing,Terminal Stance,Terminal Stance
62,7.62,4.48,13.39,9.09,0.6,2.72,13.01,17.5,2.04,0.81,7.57,5.95,3.86,0.43,8.75,2.56,,,80.26,23.77,35.19,133.5,105.28,77.08,1.81,Midswing,Midswing,Terminal Stance,Terminal Stance
63,7.69,5.64,9.87,8.01,0.2,2.25,15.27,13.61,1.61,0.5,9.11,12.17,4.09,1.74,18.59,2.43,,,84.38,28.88,37.44,134.59,113.22,75.7,6.01,Terminal Swing,Midswing,Terminal Stance,Terminal Stance
64,7.72,5.8,7.49,5.8,0.64,2.43,16.79,8.65,0.78,0.67,10.22,7.85,3.97,2.51,28.7,0.87,,,89.9,31.4,39.17,135.69,123.46,75.56,4.79,Terminal Swing,Midswing,Terminal Stance,Terminal Stance
65,7.76,7.02,5.21,6.91,1.71,2.94,16.44,0.84,0.34,0.64,10.67,12.03,3.63,1.9,3.54,0.7,,,92.74,22.77,40.37,138.87,134.59,74.35,4.21,Terminal Swing,Midswing,Toe Off,Toe Off
66,7.83,6.84,5.77,8.91,2.18,2.67,15.22,354.43,2.11,0.42,11.55,1.62,3.34,0.34,0.05,0.7,,,95.16,23.46,41.27,142.35,143.79,72.84,0.44,Terminal Swing,Midswing,Initial Swing,Initial Swing
67,7.36,6.74,6.88,11.72,2.81,2.48,11.87,351.45,2.1,1.07,10.04,1.94,3.13,1.13,6.16,0.06,,,94.05,10.42,41.78,144.3,151.19,73.74,0.11,Terminal Swing,Midswing,Initial Swing,Initial Swing
68,6.66,6.82,10.1,18.9,2.59,1.45,12.62,350.21,1.19,1.41,9.72,2.16,2.4,2.92,3.9,0.7,,,93.75,10.28,41.38,145.93,154.09,73.49,1.43,Terminal Swing,Midswing,Initial Swing,Initial Swing
69,6.52,5.58,15.86,27.11,2.95,1.82,11.13,353.33,0.39,1.41,10.25,0.92,2.48,2.79,5.8,1.77,,,94.56,14.27,40.69,146.5,153.1,72.66,0.23,Terminal Swing,Terminal Swing,Initial Swing,Initial Swing
70,5.76,4.53,19.36,36.25,2.91,1.77,12.28,356.78,2.17,0.26,13.16,10.08,2.52,2.79,4.47,2.78,166.64,111.89,89.95,15.44,39.7,149.72,152.94,78.02,6.92,Initial Strike,Initial Strike,Midswing,Midswing
71,4.53,4.2,18.39,38.17,3.21,1.63,12.97,0.4,4.73,0.84,13.33,9.87,2.91,2.56,3.77,5.78,160.79,101.32,85.77,6.69,39.01,149.14,149.38,81.62,0.5,Loading Response,Loading Response,Midswing,Midswing
72,3.59,3.49,20.46,37.73,4.15,1.75,14.32,2.03,3.55,1.08,10.13,2.77,4.6,0.41,1.99,8.42,,,82.85,1.67,36.68,149.42,144.57,78.68,5.74,Loading Response,Loading Response,Midswing,Midswing
73,3.2,1.25,21.89,39.12,4.04,1.5,13.83,2.28,3.46,0.69,7.5,4.83,4.32,1.03,2.07,12.55,,,82.06,4.32,34.11,149.46,139.19,75.4,3.12,Loading Response,Loading Response,Midswing,Midswing
74,2.5,1.57,23.63,37.29,3.98,1.5,12.53,3.17,3.5,0.38,6.03,6.26,5.02,0.73,3.51,15.6,,,81.52,4.02,31.03,150.83,138.01,73.25,3.64,Loading Response,Loading Response,Midswing,Midswing
75,2.88,0.3,20.43,35.7,3.84,1.03,13.82,3.72,3.24,1.64,7.15,3.37,5.5,2.09,1.79,18.64,,,79.75,9.92,27.24,152.97,138.22,71.91,0.94,Loading Response,Loading Response,Midswing,Midswing
76,1.76,0.93,17.32,35.07,4.8,1.98,13.85,2.57,2.71,2.02,6.4,6.32,5.68,1.64,1.53,22.19,,,79.6,6.84,23.72,152.93,135.8,68.72,0.28,Loading Response,Loading Response,Midswing,Midswing
77,1.4,8.33,6.51,33.78,4.65,1.93,14.96,2.77,2.2,2.05,6.01,6.74,5.33,1.21,3.81,26.84,,,79.08,2.76,19.98,154.21,135.58,67.26,0.89,Loading Response,Loading Response,Midswing,Midswing
78,0.71,9.45,2.62,32.23,4.84,2.18,15.71,3.37,2.56,1.34,5.26,8.77,4.4,0.38,4.14,31.06,,,77.64,,15.79,157.4,137.67,65.99,2.06,Midstance,Midstance,Midswing,Midswing
79,0.04,7.76,0.02,26.26,4.99,2.04,17.3,3.63,1.89,0.78,4.36,9.84,2.36,1.42,5.64,34.59,,,79.8,15.43,12.78,160.74,140.59,66.55,3.76,Terminal Stance,Terminal Stance,Midswing,Midswing
80,0.1,6.45,2.55,24.99,5.46,3.73,15.97,3.59,1.58,0.64,1.71,4.99,0.84,2.55,5.49,36.95,129.02,91.77,78.31,12.65,10.44,164.08,142.82,67.22,3.86,Terminal Stance,Terminal Stance,Midswing,Midswing
81,0.42,2.27,7.03,18.67,5.75,4.89,13.83,2.53,1.26,0.55,2.91,12.78,0.45,2.66,6.03,40.89,128.81,99.14,76.1,15.79,7.27,166.75,145.07,67.22,6.93,Terminal Stance,Terminal Stance,Midswing,Midswing
82,0.04,1.31,10.84,19.31,5.77,4.79,12.41,1.74,1.13,0.59,0.96,4.71,0.78,1.39,5.81,43.33,130.45,108.24,73.8,8.91,6.04,167.77,145.69,66.69,3.18,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
83,0.97,1.68,15.26,15.08,5.95,4.2,10.89,1.83,0.92,0.11,1.59,2.22,1.31,0.09,1.68,45.49,131.45,117.87,74.05,8.93,4.28,171.62,150,70.69,7.36,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
84,1.44,2.14,15.56,12.15,5.43,3.76,8.69,0.92,1.74,0.33,1.66,9.15,1.54,0.31,0.74,47.61,134.01,128.91,73.52,5.87,2.76,173.18,150,73,13.48,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
85,1.48,2.45,18.32,5.29,3.5,2.48,5.15,1.44,1.64,0.73,2.8,6.25,1.53,0.04,4.34,48.32,137.25,138.97,73.34,2.8,1.73,176.88,153.08,75.85,16.21,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
86,1.98,3.78,15.93,3.16,3.19,3.08,0.68,359.75,1.75,0.57,2.89,4.79,1.37,1.18,0.62,49.13,140.47,146.78,70.42,0.19,0.55,178.63,155.02,81.05,19.96,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
87,1.31,3.14,20.15,8.8,3.31,3.35,0.13,3.32,3.3,0.7,3.05,4.34,1.5,1.48,3.32,49.5,142.59,152.81,71.82,0.9,0.4,180.04,155.35,85.38,19.71,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
88,1.53,3.64,20.8,17.56,3.38,3.21,1.6,9.46,4.42,0.81,3.35,1.66,0.95,3.82,1.18,49.01,142.04,153.61,71.03,0.2,0.2,179.76,151.93,86.48,8.44,Toe Off,Toe Off,Terminal Swing,Terminal Swing
89,1.5,3.94,21.92,21.24,3.2,2.98,5.94,16.52,4.13,0.33,2.65,3.8,0.74,6.31,2.01,48.45,143.09,154.15,70.78,2.45,0.05,177.17,145.2,85.85,4.78,Initial Swing,Initial Swing,Terminal Swing,Terminal Swing
90,1.89,4.33,25.69,23.15,3.42,3.65,8.19,18.26,4.47,1.04,1.74,4.01,1.54,6.93,4.56,47.67,142.49,150.94,68.89,2.64,0.72,175.04,137.19,84.59,0.52,Initial Swing,Initial Swing,Terminal Swing,Terminal Swing
91,1.81,3.7,24.29,22.51,2.66,2.49,9.35,20.88,0.31,1.14,1.75,1.33,1.71,6.64,3.19,46.23,,,76.18,3.2,1.33,172.88,129.03,83.56,0.64,Initial Swing,Initial Swing,Initial Strike,Initial Strike
92,3.07,4.58,14.8,17.87,1.69,1.9,8.5,23.51,2.74,1.47,1.72,0.5,1.12,6.53,1.8,44.24,,,74.74,1.24,2,169.91,119,81.76,0.51,Initial Swing,Initial Swing,Loading Response,Loading Response
93,3.83,5.03,5.55,2.64,0.33,0.86,9.89,26.08,2.26,1.56,2.35,2.72,0.87,6.12,0.23,41.63,,,71.99,2.87,2.82,168.14,110.47,79.62,0.55,Midswing,Midswing,Loading Response,Loading Response
94,4.09,5.16,4.98,4.51,0.54,1.22,10.21,31.74,2.49,2.17,1.63,6.64,0.77,6.09,0.53,37.97,,,68.3,3.89,4.2,164.55,101.27,79.28,4.06,Midswing,Midswing,Loading Response,Loading Response
95,3.5,4.24,6.98,6.8,0.25,0.36,10.8,30.12,1.07,2.83,0.76,6.27,0.69,6.62,2.29,34.79,,,66.13,0.14,6.61,160.43,94.22,79.35,4.98,Midswing,Midswing,Loading Response,Loading Response
96,3.03,3.19,8.18,9.27,0.36,1.41,9.91,31.88,0.97,4.08,1,1.09,1.3,5.26,5.6,30.52,,,63.64,0.73,9.11,155.89,85.71,75.99,0.87,Midswing,Midswing,Loading Response,Loading Response
97,2.83,1.9,10.5,8.6,0.39,5.01,6.45,31.13,1.83,3.49,0.78,3.25,2.63,2.75,4.33,25.56,,,61.68,1.36,11.92,151.73,82.08,76.17,4.72,Midswing,Midswing,Loading Response,Loading Response
98,2,0.47,10.38,7.74,1.27,9.05,1.19,30.27,0.78,3.46,0.42,1.6,2.23,2.89,5.93,21.49,,,60.98,4.52,14.96,147.48,78.96,76.25,3.47,Midswing,Midswing,Loading Response,Loading Response
99,2.17,0.53,9.58,6.81,1.04,10.79,1.2,30.46,0.44,2.97,0.87,1.55,2.81,1.81,9.97,18.54,151.3,134.18,61.82,7.08,18.25,143.9,77.48,76.87,5.75,Midswing,Midswing,Midstance,Midstance
100,3.63,1.99,9.2,6.88,2.16,6.29,2.54,26.95,0.12,2.42,1.6,1.31,2.97,1.65,6.27,14.66,155.27,137.25,62.15,10.12,21.04,139.86,77.48,79.13,10.42,Midswing,Midswing,Terminal Stance,Terminal Stance
101,4.22,2.46,8.07,5.99,1.68,4.16,6.17,27.7,1.96,1.91,2.52,2.57,2.91,1.17,12.03,10.99,155.42,138.22,65.12,14.61,23.96,137.55,79.38,77.06,1.78,Midswing,Midswing,Terminal Stance,Terminal Stance
102,4.33,2.6,8.49,7.64,0.15,2.35,11.48,24.75,2.6,0.75,4.18,9.65,3.67,0.32,11.05,8.91,160.08,142.8,67.13,12.73,27.34,135.66,83.76,75.84,0.93,Midswing,Midswing,Terminal Stance,Terminal Stance
103,4.69,2.98,11.04,8.23,0.85,0.48,13.21,22.08,2.13,0.4,4.93,14.96,3.5,1.34,14.02,6.29,,,68.1,15.76,30.84,134.39,88.21,77.43,8.12,Midswing,Midswing,Terminal Stance,Terminal Stance
